1,Water_Guaran_0.5_percent,Oscillation frequency table,201.3,120,25.13,0.01,0.100118,1.52E-03,1.515,1.428,0.5047,24.11,19.47,-0.02633,,1,6.20E-09,3.969,26.18,
2,Water_Guaran_0.5_percent,Oscillation frequency table,284.4,203.1,25.12,0.01585,0.0999395,1.64E-03,1.641,1.569,0.483,16.48,17.11,-0.02735,,1,6.71E-09,3.969,21.61,
3,Water_Guaran_0.5_percent,Oscillation frequency table,344.2,262.9,25.12,0.02512,0.099761,1.48E-03,1.484,1.373,0.5636,9.403,22.32,-0.02729,,1,6.06E-09,3.969,14.7,
4,Water_Guaran_0.5_percent,Oscillation frequency table,389.4,308.1,25.13,0.03981,0.151689,2.64E-03,1.743,1.461,0.9502,6.967,33.04,-0.02838,,1,1.08E-08,3.968,34.62,
5,Water_Guaran_0.5_percent,Oscillation frequency table,425.2,343.9,25.12,0.0631,0.361822,6.06E-03,1.676,1.589,0.5332,4.227,18.55,-0.0281,,1,2.48E-08,3.969,11.52,
6,Water_Guaran_0.5_percent,Oscillation frequency table,455.2,373.9,25.12,0.1,0.499188,7.93E-03,1.588,1.535,0.4074,2.528,14.86,-0.02836,,1,3.24E-08,3.969,13.52,
7,Water_Guaran_0.5_percent,Oscillation frequency table,481.6,400.3,25.12,0.1585,0.497961,8.18E-03,1.643,1.585,0.435,1.65,15.35,-0.02914,,1,3.35E-08,3.969,17.25,
8,Water_Guaran_0.5_percent,Oscillation frequency table,509.5,428.2,25.12,0.2512,0.499826,8.40E-03,1.681,1.621,0.4461,1.065,15.39,-0.02931,,1,3.44E-08,3.969,31.16,
9,Water_Guaran_0.5_percent,Oscillation frequency table,534.6,453.3,25.12,0.3981,0.49994,8.66E-03,1.732,1.675,0.4392,0.6924,14.69,-0.02993,,1,3.54E-08,3.968,89.94,
10,Water_Guaran_0.5_percent,Oscillation frequency table,560.9,479.6,25.12,0.631,0.501246,9.29E-03,1.853,1.773,0.5376,0.4674,16.87,-0.02926,,1,3.80E-08,3.969,30.67,K019
11,Water_Guaran_0.5_percent,Oscillation frequency table,586.9,505.6,25.12,1,0.500104,0.0102,2.04,1.936,0.6424,0.3247,18.35,-0.02896,,1,4.17E-08,3.969,16.28,K019
12,Water_Guaran_0.5_percent,Oscillation frequency table,612,530.7,25.12,1.585,0.500218,0.01209,2.416,2.29,0.7697,0.2426,18.58,-0.02972,,1,4.94E-08,3.969,8.579,K019
13,Water_Guaran_0.5_percent,Oscillation frequency table,637.2,555.9,25.12,2.512,0.500617,0.01588,3.172,3.028,0.9442,0.201,17.32,-0.0298,,1,6.50E-08,3.969,4.066,K019
14,Water_Guaran_0.5_percent,Oscillation frequency table,662.2,580.9,25.12,3.981,0.501534,0.02491,4.968,4.833,1.147,0.1986,13.35,-0.02899,,1,1.02E-07,3.969,1.586,K019
15,Water_Guaran_0.5_percent,Oscillation frequency table,687.3,606,25.12,6.31,0.503722,0.04532,8.996,8.91,1.244,0.2269,7.95,-0.03084,,1,1.85E-07,3.969,0.4483,K019
16,Water_Guaran_0.5_percent,Oscillation frequency table,712.4,631.1,25.12,10,0.499895,0.1016,20.32,19.79,4.608,0.3234,-13.11,-0.02991,,1,4.16E-07,3.968,0.1113,K019
17,Water_Guaran_0.5_percent,Oscillation frequency table,737.5,656.2,25.13,15.85,0.504534,0.3223,63.87,59.03,24.4,0.6414,22.46,-0.02981,,1,1.32E-06,3.969,0.01684,K019
18,Water_Guaran_0.5_percent,Oscillation frequency table,762.4,681.1,25.12,25.12,0.505534,1.982,392.1,378,104.2,2.485,15.41,-0.02849,,1,8.11E-06,3.969,0.02941,K019
19,Water_Guaran_0.5_percent,Oscillation frequency table,780,698.7,25.12,39.81,0.502635,10.25,2.04E+03,1.52E+03,1.36E+03,8.156,41.83,-0.02929,,1,4.20E-05,3.969,0.01528,K019
20,Water_Guaran_0.5_percent,Oscillation frequency table,793,711.7,25.13,63.1,0.502149,39.3,7.83E+03,2.66E+03,7.36E+03,19.74,-109.86,-0.031,,1,1.61E-04,3.968,2.43,K004
21,Water_Guaran_0.5_percent,Oscillation frequency table,803,721.7,25.13,100,0.506369,254.9,5.03E+04,4.61E+04,2.02E+04,80.12,-23.67,-0.03185,,1,1.04E-03,3.969,3.803,K004
22,Water_Guaran_0.5_percent,Oscillation frequency table,812.8,731.5,25.13,150,0.486905,627.8,1.29E+05,1.29E+05,4.60E+03,136.8,-2.05,-0.0348,,1,2.57E-03,3.967,7.445,K004
